cik_str,ticker,title,cik10D
1001614,REPX,"Riley Exploration Permian, Inc.",0001001614
1838615,ALTI,"AlTi Global, Inc.",0001838615
1823144,CMPO,"CompoSecure, Inc.",0001823144
1171326,EUBG,ENTREPRENEUR UNIVERSE BRIGHT GROUP,0001171326
924822,MLR,MILLER INDUSTRIES INC /TN/,0000924822
1548717,LDP,"Cohen & Steers Ltd Duration Preferred & Income Fund, Inc.",0001548717
1050441,EGBN,EAGLE BANCORP INC,0001050441
1847590,BWMN,Bowman Consulting Group Ltd.,0001847590
1806952,LYEL,"Lyell Immunopharma, Inc.",0001806952
1777393,CHPT,"ChargePoint Holdings, Inc.",0001777393
1398987,HOUS,Anywhere Real Estate Inc.,0001398987
1057060,HZO,MARINEMAX INC,0001057060
101199,UFCS,UNITED FIRE GROUP INC,0000101199
1868279,AVBP,"ArriVent BioPharma, Inc.",0001868279
1160864,BHK,BLACKROCK CORE BOND TRUST,0001160864
1774342,NMCO,Nuveen Municipal Credit Opportunities Fund,0001774342
1434754,SB,"SAFE BULKERS, INC.",0001434754
1861974,ECX,ECARX Holdings Inc.,0001861974
1195738,NKX,NUVEEN CALIFORNIA AMT-FREE QUALITY MUNICIPAL INCOME FUND,0001195738
1839341,CORZ,"Core Scientific, Inc./tx",0001839341
1756699,TIGR,UP Fintech Holding Ltd,0001756699
855886,PDT,JOHN HANCOCK PREMIUM DIVIDEND FUND,0000855886
1234006,GOOD,GLADSTONE COMMERCIAL CORP,0001234006
1841408,DAVE,Dave Inc./DE,0001841408
910406,HAIN,HAIN CELESTIAL GROUP INC,0000910406
1708055,RBBN,Ribbon Communications Inc.,0001708055
1395325,ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,0001395325
1314966,BME,BlackRock Health Sciences Trust,0001314966
1072379,NWBO,NORTHWEST BIOTHERAPEUTICS INC,0001072379
1124796,LASR,"NLIGHT, INC.",0001124796
1879248,ADSE,Ads-Tec Energy Public Ltd Co,0001879248
1795579,CALT,Calliditas Therapeutics AB,0001795579
1821159,EVGO,EVgo Inc.,0001821159
1953530,OCS,Oculis Holding AG,0001953530
1170299,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299
1828791,DSP,Viant Technology Inc.,0001828791
1793862,DADA,Dada Nexus Ltd,0001793862
1758021,KRT,Karat Packaging Inc.,0001758021
1692705,QD,Qudian Inc.,0001692705
319654,PBT,PERMIAN BASIN ROYALTY TRUST,0000319654
886043,MMU,WESTERN ASSET MANAGED MUNICIPALS FUND INC.,0000886043
1783183,PHAT,"Phathom Pharmaceuticals, Inc.",0001783183
1747079,BALY,Bally's Corp,0001747079
1794776,PSBD,Palmer Square Capital BDC Inc.,0001794776
